"STREAM_ID","n.trend","n.ltgme","n.gm","ANALYSE"
650,0,0,0,"N"
651,0,4,0,"Y"
652,0,0,0,"N"
653,1,1,0,"Y"
654,0,1,0,"Y"
655,0,0,0,"N"
656,0,0,0,"N"
657,1,0,0,"Y"
658,0,0,0,"N"
659,3,3,1,"Y"
660,0,0,0,"N"
661,0,0,0,"N"
662,0,0,0,"N"
663,0,1,0,"Y"
664,0,0,0,"N"
665,0,0,0,"N"
667,0,0,0,"N"
670,0,0,0,"N"
671,0,0,0,"N"
677,0,0,0,"N"
678,0,0,0,"N"
680,0,0,0,"N"
681,0,0,0,"N"
684,0,0,0,"N"
685,0,0,0,"N"
686,0,0,0,"N"
687,0,0,0,"N"
688,0,0,0,"N"
690,0,0,0,"N"
691,0,0,0,"N"
692,0,0,0,"N"
693,0,0,0,"N"
694,0,0,0,"N"
695,0,0,0,"N"
696,0,0,0,"N"
697,0,0,0,"N"
698,0,0,0,"N"
701,0,0,0,"N"
702,0,0,0,"N"
703,0,0,0,"N"
704,0,0,0,"N"
705,0,0,0,"N"
706,0,0,0,"N"
707,0,0,0,"N"
708,0,0,0,"N"
709,0,0,0,"N"
710,0,0,0,"N"
711,0,0,0,"N"
712,0,0,0,"N"
713,0,0,0,"N"
714,0,0,0,"N"
715,0,0,0,"N"
716,0,0,0,"N"
717,0,0,0,"N"
718,0,0,0,"N"
719,0,0,0,"N"
720,0,0,0,"N"
721,0,0,0,"N"
722,0,0,0,"N"
723,0,0,0,"N"
724,0,0,0,"N"
725,0,0,0,"N"
727,0,0,0,"N"
728,0,0,0,"N"
729,0,0,0,"N"
730,0,0,0,"N"
732,0,0,0,"N"
733,0,0,0,"N"
734,0,0,0,"N"
735,0,0,0,"N"
736,0,0,0,"N"
737,0,0,0,"N"
738,0,0,0,"N"
740,0,0,0,"N"
741,0,0,0,"N"
742,0,0,0,"N"
743,0,0,0,"N"
744,0,0,0,"N"
745,0,0,0,"N"
746,0,0,0,"N"
747,0,0,0,"N"
748,0,0,0,"N"
749,0,0,0,"N"
750,0,0,0,"N"
751,0,0,0,"N"
752,0,0,0,"N"
753,0,0,0,"N"
754,0,0,0,"N"
755,0,0,0,"N"
756,0,0,0,"N"
757,0,0,0,"N"
758,0,0,0,"N"
759,0,1,0,"Y"
760,0,2,0,"Y"
761,0,0,0,"N"
762,0,0,0,"N"
764,1,1,1,"Y"
765,0,0,0,"N"
767,0,0,0,"N"
768,0,0,0,"N"
769,1,1,1,"Y"
770,0,1,0,"Y"
771,1,1,1,"Y"
772,0,0,0,"N"
773,0,0,0,"N"
774,1,1,1,"Y"
775,0,0,0,"N"
776,2,2,1,"Y"
777,0,0,0,"N"
778,1,3,2,"Y"
779,0,0,0,"N"
780,3,3,3,"Y"
781,0,0,0,"N"
782,3,3,2,"Y"
783,0,0,0,"N"
784,2,3,3,"Y"
785,0,0,0,"N"
786,0,0,0,"N"
787,0,0,0,"N"
788,0,0,0,"N"
789,0,0,0,"N"
790,0,0,0,"N"
791,0,0,0,"N"
792,5,5,5,"Y"
793,0,0,0,"N"
794,0,0,0,"N"
795,0,0,0,"N"
796,0,0,0,"N"
797,0,0,0,"N"
798,2,5,3,"Y"
799,1,1,1,"Y"
800,1,2,0,"Y"
801,1,0,1,"Y"
802,0,0,0,"N"
803,0,0,0,"N"
804,0,0,0,"N"
805,0,0,0,"N"
806,0,0,0,"N"
807,0,0,0,"N"
808,0,0,0,"N"
809,0,3,0,"Y"
810,0,0,0,"N"
811,0,0,0,"N"
812,0,0,0,"N"
813,0,3,0,"Y"
814,0,0,0,"N"
815,2,4,2,"Y"
816,4,4,3,"Y"
817,0,0,0,"N"
818,0,0,0,"N"
819,0,0,0,"N"
820,0,0,0,"N"
821,0,0,0,"N"
822,0,0,0,"N"
823,0,0,0,"N"
824,4,5,4,"Y"
825,0,0,0,"N"
826,0,1,0,"Y"
827,1,2,1,"Y"
828,0,0,0,"N"
829,0,0,0,"N"
830,1,3,1,"Y"
831,0,0,0,"N"
832,2,3,2,"Y"
833,2,4,1,"Y"
834,0,0,0,"N"
835,0,0,0,"N"
836,1,2,1,"Y"
837,0,0,0,"N"
838,0,0,0,"N"
839,0,0,0,"N"
840,0,0,0,"N"
841,0,0,0,"N"
842,0,0,0,"N"
843,0,0,0,"N"
844,0,0,0,"N"
845,0,0,0,"N"
846,0,0,0,"N"
847,0,1,0,"Y"
849,0,0,0,"N"
850,0,0,0,"N"
851,0,0,0,"N"
852,0,5,0,"Y"
853,0,0,0,"N"
854,0,0,0,"N"
855,0,0,0,"N"
856,0,0,0,"N"
857,0,0,0,"N"
858,0,1,0,"Y"
859,0,0,0,"N"
860,0,3,0,"Y"
861,5,5,5,"Y"
862,0,0,0,"N"
863,0,1,0,"Y"
864,0,0,0,"N"
865,0,0,0,"N"
866,2,3,2,"Y"
867,2,2,2,"Y"
868,4,4,4,"Y"
869,0,1,0,"Y"
870,0,0,0,"N"
871,0,0,0,"N"
872,0,4,0,"Y"
873,0,0,0,"N"
874,0,5,0,"Y"
876,0,0,0,"N"
877,0,0,0,"N"
878,2,3,1,"Y"
879,0,1,0,"Y"
880,0,0,0,"N"
881,0,0,0,"N"
882,0,0,0,"N"
884,0,0,0,"N"
885,0,0,0,"N"
886,0,0,0,"N"
887,0,0,0,"N"
888,0,0,0,"N"
889,0,0,0,"N"
890,0,0,0,"N"
891,0,0,0,"N"
892,0,0,0,"N"
893,0,0,0,"N"
894,0,0,0,"N"
895,0,0,0,"N"
896,0,0,0,"N"
897,0,0,0,"N"
898,0,0,0,"N"
899,0,0,0,"N"
900,0,0,0,"N"
901,0,0,0,"N"
902,0,0,0,"N"
903,0,0,0,"N"
904,0,0,0,"N"
905,0,0,0,"N"
906,0,0,0,"N"
907,0,0,0,"N"
908,0,0,0,"N"
909,0,0,0,"N"
910,0,0,0,"N"
912,0,0,0,"N"
913,0,1,1,"Y"
914,0,0,0,"N"
915,0,0,0,"N"
916,0,0,0,"N"
917,0,2,0,"Y"
918,0,0,0,"N"
920,0,0,0,"N"
921,0,0,0,"N"
924,0,0,0,"N"
925,0,0,0,"N"
926,0,0,0,"N"
927,0,0,0,"N"
928,1,2,1,"Y"
929,1,3,1,"Y"
930,0,0,0,"N"
931,0,0,0,"N"
932,0,0,0,"N"
933,0,0,0,"N"
934,0,0,0,"N"
935,0,0,0,"N"
936,0,0,0,"N"
937,0,0,0,"N"
938,1,1,1,"Y"
939,1,2,1,"Y"
940,0,0,0,"N"
941,0,0,0,"N"
942,1,1,1,"Y"
943,0,0,0,"N"
944,1,1,1,"Y"
945,1,1,1,"Y"
946,0,0,0,"N"
947,0,0,0,"N"
948,0,1,0,"Y"
949,2,4,2,"Y"
950,0,0,0,"N"
951,0,0,0,"N"
952,2,3,2,"Y"
953,0,2,0,"Y"
954,0,0,0,"N"
955,0,0,0,"N"
956,0,0,0,"N"
957,2,4,2,"Y"
958,0,0,0,"N"
959,1,2,1,"Y"
960,0,0,0,"N"
961,0,0,0,"N"
962,1,3,2,"Y"
963,0,0,0,"N"
964,0,0,0,"N"
965,0,0,0,"N"
966,0,0,0,"N"
967,0,0,0,"N"
968,1,1,1,"Y"
969,2,0,0,"Y"
970,0,0,0,"N"
971,1,3,0,"Y"
972,0,0,0,"N"
973,0,0,0,"N"
974,0,0,0,"N"
975,2,4,2,"Y"
976,0,1,0,"Y"
977,1,3,1,"Y"
978,0,0,0,"N"
979,0,0,0,"N"
980,0,0,0,"N"
981,0,0,0,"N"
983,4,5,5,"Y"
984,4,5,4,"Y"
985,0,0,0,"N"
986,1,4,3,"Y"
987,3,3,3,"Y"
988,2,3,2,"Y"
989,4,3,3,"Y"
990,2,2,2,"Y"
991,5,5,5,"Y"
992,3,3,3,"Y"
993,5,4,4,"Y"
994,0,0,0,"N"
995,0,0,0,"N"
996,0,0,0,"N"
997,0,0,0,"N"
998,3,3,2,"Y"
999,3,3,3,"Y"
1000,0,0,0,"N"
1001,0,1,0,"Y"
1002,0,0,0,"N"
1003,0,0,0,"N"
1004,0,0,0,"N"
1005,1,3,1,"Y"
1006,0,0,0,"N"
1007,2,3,2,"Y"
1008,0,3,0,"Y"
1009,3,3,3,"Y"
1010,4,4,4,"Y"
1011,3,3,1,"Y"
1012,0,1,0,"Y"
1013,1,1,1,"Y"
1014,1,3,2,"Y"
1015,3,3,3,"Y"
1016,1,3,1,"Y"
1017,3,3,3,"Y"
1018,3,5,4,"Y"
1019,0,0,0,"N"
1020,0,3,0,"Y"
1021,2,4,2,"Y"
1022,1,3,1,"Y"
1023,1,3,1,"Y"
1024,0,1,0,"Y"
1025,0,3,0,"Y"
1026,0,3,0,"Y"
1027,0,1,0,"Y"
1028,0,1,0,"Y"
1029,2,4,2,"Y"
